0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,A,1
11,B,1
12,C,1
13,D,1
14,E,1
15,F,1
16,G,1
17,H,1
18,I,1
19,J,1
20,K,1
21,L,1
22,M,1
23,N,1
24,O,1
25,P,1
26,Q,1
27,R,1
28,S,1
29,T,1
30,U,1
31,V,1
32,W,1
33,X,1
34,Y,1
35,Z,1
36,a,2
37,b,2
38,c,2
39,d,2
40,e,2
41,f,2
42,g,2
43,h,2
44,i,2
45,j,2
46,k,2
47,l,2
48,m,2
49,n,2
50,o,2
51,p,2
52,q,2
53,r,2
54,s,2
55,t,2
56,u,2
57,v,2
58,w,2
59,x,2
60,y,2
61,z,2
62,ぁ,3
63,あ,3
64,ぃ,3
65,い,3
66,ぅ,3
67,う,3
68,ぇ,3
69,え,3
70,ぉ,3
71,お,3
72,か,3
73,が,3
74,き,3
75,ぎ,3
76,く,3
77,ぐ,3
78,け,3
79,げ,3
80,こ,3
81,ご,3
82,さ,3
83,ざ,3
84,し,3
85,じ,3
86,す,3
87,ず,3
88,せ,3
89,ぜ,3
90,そ,3
91,ぞ,3
92,た,3
93,だ,3
94,ち,3
95,ぢ,3
96,っ,3
97,つ,3
98,づ,3
99,て,3
100,で,3
101,と,3
102,ど,3
103,な,3
104,に,3
105,ぬ,3
106,ね,3
107,の,3
108,は,3
109,ば,3
110,ぱ,3
111,ひ,3
112,び,3
113,ぴ,3
114,ふ,3
115,ぶ,3
116,ぷ,3
117,へ,3
118,べ,3
119,ぺ,3
120,ほ,3
121,ぼ,3
122,ぽ,3
123,ま,3
124,み,3
125,む,3
126,め,3
127,も,3
128,ゃ,3
129,や,3
130,ゅ,3
131,ゆ,3
132,ょ,3
133,よ,3
134,ら,3
135,り,3
136,る,3
137,れ,3
138,ろ,3
139,ゎ,3
140,わ,3
141,ゐ,3
142,ゑ,3
143,を,3
144,ん,3
145,ゔ,3
146,ゕ,3
147,ゖ,3
148,ァ,4
149,ア,4
150,ィ,4
151,イ,4
152,ゥ,4
153,ウ,4
154,ェ,4
155,エ,4
156,ォ,4
157,オ,4
158,カ,4
159,ガ,4
160,キ,4
161,ギ,4
162,ク,4
163,グ,4
164,ケ,4
165,ゲ,4
166,コ,4
167,ゴ,4
168,サ,4
169,ザ,4
170,シ,4
171,ジ,4
172,ス,4
173,ズ,4
174,セ,4
175,ゼ,4
176,ソ,4
177,ゾ,4
178,タ,4
179,ダ,4
180,チ,4
181,ヂ,4
182,ッ,4
183,ツ,4
184,ヅ,4
185,テ,4
186,デ,4
187,ト,4
188,ド,4
189,ナ,4
190,ニ,4
191,ヌ,4
192,ネ,4
193,ノ,4
194,ハ,4
195,バ,4
196,パ,4
197,ヒ,4
198,ビ,4
199,ピ,4
200,フ,4
201,ブ,4
202,プ,4
203,ヘ,4
204,ベ,4
205,ペ,4
206,ホ,4
207,ボ,4
208,ポ,4
209,マ,4
210,ミ,4
211,ム,4
212,メ,4
213,モ,4
214,ャ,4
215,ヤ,4
216,ュ,4
217,ユ,4
218,ョ,4
219,ヨ,4
220,ラ,4
221,リ,4
222,ル,4
223,レ,4
224,ロ,4
225,ヮ,4
226,ワ,4
227,ヰ,4
228,ヱ,4
229,ヲ,4
230,ン,4
231,ヴ,4
232,ヵ,4
233,ヶ,4
234,ヷ,4
235,ヸ,4
236,ヹ,4
237,ヺ,4
238,一,5
239,右,5
240,雨,5
241,円,5
242,王,5
243,音,5
244,下,5
245,火,5
246,花,5
247,貝,5
248,学,5
249,気,5
250,九,5
251,休,5
252,玉,5
253,金,5
254,空,5
255,月,5
256,犬,5
257,見,5
258,五,5
259,口,5
260,校,5
261,左,5
262,三,5
263,山,5
264,子,5
265,四,5
266,糸,5
267,字,5
268,耳,5
269,七,5
270,車,5
271,手,5
272,十,5
273,出,5
274,女,5
275,小,5
276,上,5
277,森,5
278,人,5
279,水,5
280,正,5
281,生,5
282,青,5
283,夕,5
284,石,5
285,赤,5
286,千,5
287,川,5
288,先,5
289,早,5
290,草,5
291,足,5
292,村,5
293,大,5
294,男,5
295,竹,5
296,中,5
297,虫,5
298,町,5
299,天,5
300,田,5
301,土,5
302,二,5
303,日,5
304,入,5
305,年,5
306,白,5
307,八,5
308,百,5
309,文,5
310,木,5
311,本,5
312,名,5
313,目,5
314,立,5
315,力,5
316,林,5
317,六,5
318,引,5
319,羽,5
320,雲,5
321,園,5
322,遠,5
323,何,5
324,科,5
325,夏,5
326,家,5
327,歌,5
328,画,5
329,回,5
330,会,5
331,海,5
332,絵,5
333,外,5
334,角,5
335,楽,5
336,活,5
337,間,5
338,丸,5
339,岩,5
340,顔,5
341,汽,5
342,記,5
343,帰,5
344,弓,5
345,牛,5
346,魚,5
347,京,5
348,強,5
349,教,5
350,近,5
351,兄,5
352,形,5
353,計,5
354,元,5
355,言,5
356,原,5
357,戸,5
358,古,5
359,午,5
360,後,5
361,語,5
362,工,5
363,公,5
364,広,5
365,交,5
366,光,5
367,考,5
368,行,5
369,高,5
370,黄,5
371,合,5
372,谷,5
373,国,5
374,黒,5
375,今,5
376,才,5
377,細,5
378,作,5
379,算,5
380,止,5
381,市,5
382,矢,5
383,姉,5
384,思,5
385,紙,5
386,寺,5
387,自,5
388,時,5
389,室,5
390,社,5
391,弱,5
392,首,5
393,秋,5
394,週,5
395,春,5
396,書,5
397,少,5
398,場,5
399,色,5
400,食,5
401,心,5
402,新,5
403,親,5
404,図,5
405,数,5
406,西,5
407,声,5
408,星,5
409,晴,5
410,切,5
411,雪,5
412,船,5
413,線,5
414,前,5
415,組,5
416,走,5
417,多,5
418,太,5
419,体,5
420,台,5
421,地,5
422,池,5
423,知,5
424,茶,5
425,昼,5
426,長,5
427,鳥,5
428,朝,5
429,直,5
430,通,5
431,弟,5
432,店,5
433,点,5
434,電,5
435,刀,5
436,冬,5
437,当,5
438,東,5
439,答,5
440,頭,5
441,同,5
442,道,5
443,読,5
444,内,5
445,南,5
446,肉,5
447,馬,5
448,売,5
449,買,5
450,麦,5
451,半,5
452,番,5
453,父,5
454,風,5
455,分,5
456,聞,5
457,米,5
458,歩,5
459,母,5
460,方,5
461,北,5
462,毎,5
463,妹,5
464,万,5
465,明,5
466,鳴,5
467,毛,5
468,門,5
469,夜,5
470,野,5
471,友,5
472,用,5
473,曜,5
474,来,5
475,里,5
476,理,5
477,話,5
478,悪,5
479,安,5
480,暗,5
481,医,5
482,委,5
483,意,5
484,育,5
485,員,5
486,院,5
487,飲,5
488,運,5
489,泳,5
490,駅,5
491,央,5
492,横,5
493,屋,5
494,温,5
495,化,5
496,荷,5
497,界,5
498,開,5
499,階,5
500,寒,5
501,感,5
502,漢,5
503,館,5
504,岸,5
505,起,5
506,期,5
507,客,5
508,究,5
509,急,5
510,級,5
511,宮,5
512,球,5
513,去,5
514,橋,5
515,業,5
516,曲,5
517,局,5
518,銀,5
519,区,5
520,苦,5
521,具,5
522,君,5
523,係,5
524,軽,5
525,血,5
526,決,5
527,研,5
528,県,5
529,庫,5
530,湖,5
531,向,5
532,幸,5
533,港,5
534,号,5
535,根,5
536,祭,5
537,皿,5
538,仕,5
539,死,5
540,使,5
541,始,5
542,指,5
543,歯,5
544,詩,5
545,次,5
546,事,5
547,持,5
548,式,5
549,実,5
550,写,5
551,者,5
552,主,5
553,守,5
554,取,5
555,酒,5
556,受,5
557,州,5
558,拾,5
559,終,5
560,習,5
561,集,5
562,住,5
563,重,5
564,宿,5
565,所,5
566,暑,5
567,助,5
568,昭,5
569,消,5
570,商,5
571,章,5
572,勝,5
573,乗,5
574,植,5
575,申,5
576,身,5
